[2020-07-20 15:10:30] - Starting holdout training: {
	data_features: ['distance_to_goal_normalized', 'raycast_8_normalized', 'direction_to_goal_normalized', 'agent_goal_angle'],
	data_labels: ['next_position_index'],
	data_single_features: [],
	data_single_labels: [],
	epochs: 100,
	loss: CrossEntropyLoss(),
	optimizer: <function BasicLSTMModule.get_config.<locals>.<lambda> at 0x7f55e57f17a0>,
	validation_ratio: 0.2,
	test_ratio: 0.2,
	save_name: tile_by_tile,
	training_data: ['training_uniform_random_fill_1000', 'training_house_1000', 'training_block_1000'],
	batch_size: 50,
	num_layers: 2,
	lstm_input_size: 12,
	lstm_output_size: 8,
}

[2020-07-20 15:10:30] - Starting data pre processing
[2020-07-20 15:10:30] - Cache miss, starting new training data pre processing
[2020-07-20 15:10:30] - Loading data: training_uniform_random_fill_1000
[2020-07-20 15:11:00] - Loading data: training_house_1000
[2020-07-20 15:11:34] - Loading data: training_block_1000
[2020-07-20 15:12:08] - Picking features
[2020-07-20 15:12:21] - Cache hit, training data loaded from cache
[2020-07-20 15:12:21] - Finished data pre processing 

[2020-07-20 15:12:21] - Training: <class 'algorithms.lstm.LSTM_tile_by_tile.BasicLSTMModule'>
[2020-07-20 15:12:25] - Training 	 Epoch: 0 	 Loss: 1.470069 	 Accuracy 0.60 	 Precision: 0.25 	 Recall: 0.20 	 F1: 0.19
[2020-07-20 15:13:54] - Training 	 Epoch: 17 	 Loss: 0.550342 	 Accuracy 0.83 	 Precision: 0.73 	 Recall: 0.69 	 F1: 0.71
[2020-07-20 15:13:56] - Validation 	 Epoch: 17 	 Loss: 1.667925 	 Accuracy 0.83 	 Precision: 0.69 	 Recall: 0.66 	 F1: 0.67

[2020-07-20 15:13:59] - Training 	 Epoch: 18 	 Loss: 0.543403 	 Accuracy 0.83 	 Precision: 0.74 	 Recall: 0.69 	 F1: 0.71
[2020-07-20 15:14:02] - Validation 	 Epoch: 18 	 Loss: 1.645433 	 Accuracy 0.83 	 Precision: 0.69 	 Recall: 0.67 	 F1: 0.67

[2020-07-20 15:14:05] - Training 	 Epoch: 19 	 Loss: 0.538137 	 Accuracy 0.83 	 Precision: 0.74 	 Recall: 0.68 	 F1: 0.70
[2020-07-20 15:14:08] - Validation 	 Epoch: 19 	 Loss: 1.665697 	 Accuracy 0.84 	 Precision: 0.70 	 Recall: 0.68 	 F1: 0.68

[2020-07-20 15:14:11] - Training 	 Epoch: 20 	 Loss: 0.533973 	 Accuracy 0.84 	 Precision: 0.74 	 Recall: 0.68 	 F1: 0.71
[2020-07-20 15:14:13] - Validation 	 Epoch: 20 	 Loss: 1.635737 	 Accuracy 0.83 	 Precision: 0.69 	 Recall: 0.65 	 F1: 0.67

[2020-07-20 15:14:16] - Training 	 Epoch: 21 	 Loss: 0.522949 	 Accuracy 0.84 	 Precision: 0.74 	 Recall: 0.69 	 F1: 0.71
[2020-07-20 15:14:19] - Validation 	 Epoch: 21 	 Loss: 1.632400 	 Accuracy 0.83 	 Precision: 0.69 	 Recall: 0.68 	 F1: 0.68

[2020-07-20 15:14:22] - Training 	 Epoch: 22 	 Loss: 0.513612 	 Accuracy 0.84 	 Precision: 0.75 	 Recall: 0.70 	 F1: 0.72
[2020-07-20 15:14:25] - Validation 	 Epoch: 22 	 Loss: 1.627748 	 Accuracy 0.83 	 Precision: 0.69 	 Recall: 0.68 	 F1: 0.68

[2020-07-20 15:14:29] - Training 	 Epoch: 23 	 Loss: 0.516594 	 Accuracy 0.84 	 Precision: 0.75 	 Recall: 0.70 	 F1: 0.72
[2020-07-20 15:14:31] - Validation 	 Epoch: 23 	 Loss: 1.587040 	 Accuracy 0.84 	 Precision: 0.71 	 Recall: 0.68 	 F1: 0.69

[2020-07-20 15:14:35] - Training 	 Epoch: 24 	 Loss: 0.510900 	 Accuracy 0.84 	 Precision: 0.75 	 Recall: 0.69 	 F1: 0.72
[2020-07-20 15:14:37] - Validation 	 Epoch: 24 	 Loss: 1.582958 	 Accuracy 0.84 	 Precision: 0.71 	 Recall: 0.69 	 F1: 0.69

[2020-07-20 15:14:41] - Training 	 Epoch: 25 	 Loss: 0.508727 	 Accuracy 0.85 	 Precision: 0.76 	 Recall: 0.70 	 F1: 0.72
[2020-07-20 15:14:43] - Validation 	 Epoch: 25 	 Loss: 1.571440 	 Accuracy 0.84 	 Precision: 0.71 	 Recall: 0.69 	 F1: 0.70

[2020-07-20 15:14:47] - Training 	 Epoch: 26 	 Loss: 0.503363 	 Accuracy 0.85 	 Precision: 0.76 	 Recall: 0.70 	 F1: 0.73
[2020-07-20 15:14:48] - Validation 	 Epoch: 26 	 Loss: 1.559031 	 Accuracy 0.85 	 Precision: 0.72 	 Recall: 0.69 	 F1: 0.70

[2020-07-20 15:14:52] - Training 	 Epoch: 27 	 Loss: 0.500999 	 Accuracy 0.85 	 Precision: 0.76 	 Recall: 0.71 	 F1: 0.73
[2020-07-20 15:14:54] - Validation 	 Epoch: 27 	 Loss: 1.552683 	 Accuracy 0.85 	 Precision: 0.72 	 Recall: 0.69 	 F1: 0.70

[2020-07-20 15:14:57] - Training 	 Epoch: 28 	 Loss: 0.496033 	 Accuracy 0.85 	 Precision: 0.76 	 Recall: 0.70 	 F1: 0.73
[2020-07-20 15:14:59] - Validation 	 Epoch: 28 	 Loss: 1.563865 	 Accuracy 0.85 	 Precision: 0.72 	 Recall: 0.69 	 F1: 0.70

[2020-07-20 15:15:03] - Training 	 Epoch: 29 	 Loss: 0.493632 	 Accuracy 0.86 	 Precision: 0.77 	 Recall: 0.73 	 F1: 0.75
[2020-07-20 15:15:05] - Validation 	 Epoch: 29 	 Loss: 1.557863 	 Accuracy 0.85 	 Precision: 0.72 	 Recall: 0.70 	 F1: 0.71

[2020-07-20 15:15:10] - Training 	 Epoch: 30 	 Loss: 0.478346 	 Accuracy 0.86 	 Precision: 0.77 	 Recall: 0.74 	 F1: 0.76
[2020-07-20 15:15:12] - Validation 	 Epoch: 30 	 Loss: 1.594453 	 Accuracy 0.85 	 Precision: 0.72 	 Recall: 0.70 	 F1: 0.70

[2020-07-20 15:15:17] - Training 	 Epoch: 31 	 Loss: 0.569487 	 Accuracy 0.84 	 Precision: 0.73 	 Recall: 0.72 	 F1: 0.71
[2020-07-20 15:15:19] - Validation 	 Epoch: 31 	 Loss: 2.498299 	 Accuracy 0.79 	 Precision: 0.64 	 Recall: 0.66 	 F1: 0.61

[2020-07-20 15:15:22] - Training 	 Epoch: 32 	 Loss: 0.528584 	 Accuracy 0.84 	 Precision: 0.76 	 Recall: 0.67 	 F1: 0.71
[2020-07-20 15:15:25] - Validation 	 Epoch: 32 	 Loss: 1.747952 	 Accuracy 0.84 	 Precision: 0.73 	 Recall: 0.64 	 F1: 0.67

[2020-07-20 15:15:28] - Training 	 Epoch: 33 	 Loss: 0.527937 	 Accuracy 0.84 	 Precision: 0.76 	 Recall: 0.69 	 F1: 0.72
[2020-07-20 15:15:30] - Validation 	 Epoch: 33 	 Loss: 1.722676 	 Accuracy 0.83 	 Precision: 0.71 	 Recall: 0.67 	 F1: 0.68

[2020-07-20 15:15:34] - Training 	 Epoch: 34 	 Loss: 0.507368 	 Accuracy 0.85 	 Precision: 0.76 	 Recall: 0.72 	 F1: 0.74
[2020-07-20 15:15:36] - Validation 	 Epoch: 34 	 Loss: 1.706638 	 Accuracy 0.83 	 Precision: 0.71 	 Recall: 0.68 	 F1: 0.68

[2020-07-20 15:15:39] - Training 	 Epoch: 35 	 Loss: 0.495334 	 Accuracy 0.85 	 Precision: 0.76 	 Recall: 0.72 	 F1: 0.74
[2020-07-20 15:15:42] - Validation 	 Epoch: 35 	 Loss: 1.642997 	 Accuracy 0.84 	 Precision: 0.71 	 Recall: 0.70 	 F1: 0.70

[2020-07-20 15:15:47] - Training 	 Epoch: 36 	 Loss: 0.481202 	 Accuracy 0.86 	 Precision: 0.77 	 Recall: 0.73 	 F1: 0.75
[2020-07-20 15:15:48] - Validation 	 Epoch: 36 	 Loss: 1.646049 	 Accuracy 0.84 	 Precision: 0.71 	 Recall: 0.70 	 F1: 0.70

[2020-07-20 15:15:52] - Training 	 Epoch: 37 	 Loss: 0.479333 	 Accuracy 0.86 	 Precision: 0.76 	 Recall: 0.73 	 F1: 0.74
[2020-07-20 15:15:54] - Validation 	 Epoch: 37 	 Loss: 1.586605 	 Accuracy 0.84 	 Precision: 0.72 	 Recall: 0.71 	 F1: 0.70

[2020-07-20 15:15:57] - Training 	 Epoch: 38 	 Loss: 0.472285 	 Accuracy 0.86 	 Precision: 0.77 	 Recall: 0.73 	 F1: 0.75
[2020-07-20 15:15:59] - Validation 	 Epoch: 38 	 Loss: 1.567689 	 Accuracy 0.84 	 Precision: 0.72 	 Recall: 0.71 	 F1: 0.71

[2020-07-20 15:16:03] - Training 	 Epoch: 39 	 Loss: 0.467101 	 Accuracy 0.86 	 Precision: 0.77 	 Recall: 0.73 	 F1: 0.75
[2020-07-20 15:16:05] - Validation 	 Epoch: 39 	 Loss: 1.552671 	 Accuracy 0.85 	 Precision: 0.73 	 Recall: 0.72 	 F1: 0.71

[2020-07-20 15:16:08] - Training 	 Epoch: 40 	 Loss: 0.467304 	 Accuracy 0.86 	 Precision: 0.78 	 Recall: 0.73 	 F1: 0.75
[2020-07-20 15:16:10] - Validation 	 Epoch: 40 	 Loss: 1.537731 	 Accuracy 0.85 	 Precision: 0.73 	 Recall: 0.72 	 F1: 0.72

[2020-07-20 15:16:13] - Training 	 Epoch: 41 	 Loss: 0.458504 	 Accuracy 0.86 	 Precision: 0.78 	 Recall: 0.73 	 F1: 0.75
[2020-07-20 15:16:15] - Validation 	 Epoch: 41 	 Loss: 1.537216 	 Accuracy 0.85 	 Precision: 0.73 	 Recall: 0.72 	 F1: 0.72

[2020-07-20 15:16:18] - Training 	 Epoch: 42 	 Loss: 0.466062 	 Accuracy 0.86 	 Precision: 0.79 	 Recall: 0.73 	 F1: 0.76
[2020-07-20 15:16:20] - Validation 	 Epoch: 42 	 Loss: 1.515802 	 Accuracy 0.85 	 Precision: 0.73 	 Recall: 0.71 	 F1: 0.71

[2020-07-20 15:16:24] - Training 	 Epoch: 43 	 Loss: 0.545165 	 Accuracy 0.84 	 Precision: 0.76 	 Recall: 0.69 	 F1: 0.71
[2020-07-20 15:16:25] - Validation 	 Epoch: 43 	 Loss: 1.810831 	 Accuracy 0.83 	 Precision: 0.70 	 Recall: 0.66 	 F1: 0.65

[2020-07-20 15:16:29] - Training 	 Epoch: 44 	 Loss: 0.495732 	 Accuracy 0.86 	 Precision: 0.77 	 Recall: 0.73 	 F1: 0.75
[2020-07-20 15:16:31] - Validation 	 Epoch: 44 	 Loss: 1.635615 	 Accuracy 0.84 	 Precision: 0.72 	 Recall: 0.71 	 F1: 0.71

[2020-07-20 15:16:34] - Training 	 Epoch: 45 	 Loss: 0.479757 	 Accuracy 0.86 	 Precision: 0.78 	 Recall: 0.73 	 F1: 0.75
[2020-07-20 15:16:36] - Validation 	 Epoch: 45 	 Loss: 1.579241 	 Accuracy 0.85 	 Precision: 0.73 	 Recall: 0.72 	 F1: 0.72

[2020-07-20 15:16:39] - Training 	 Epoch: 46 	 Loss: 0.472902 	 Accuracy 0.86 	 Precision: 0.77 	 Recall: 0.73 	 F1: 0.75
[2020-07-20 15:16:41] - Validation 	 Epoch: 46 	 Loss: 1.560515 	 Accuracy 0.86 	 Precision: 0.74 	 Recall: 0.73 	 F1: 0.72

[2020-07-20 15:16:45] - Training 	 Epoch: 47 	 Loss: 0.466848 	 Accuracy 0.86 	 Precision: 0.78 	 Recall: 0.74 	 F1: 0.76
[2020-07-20 15:16:47] - Validation 	 Epoch: 47 	 Loss: 1.550550 	 Accuracy 0.86 	 Precision: 0.74 	 Recall: 0.73 	 F1: 0.73

[2020-07-20 15:16:50] - Training 	 Epoch: 48 	 Loss: 0.462419 	 Accuracy 0.87 	 Precision: 0.78 	 Recall: 0.74 	 F1: 0.76
[2020-07-20 15:16:52] - Validation 	 Epoch: 48 	 Loss: 1.547962 	 Accuracy 0.86 	 Precision: 0.73 	 Recall: 0.73 	 F1: 0.72

[2020-07-20 15:16:56] - Training 	 Epoch: 49 	 Loss: 0.459463 	 Accuracy 0.87 	 Precision: 0.78 	 Recall: 0.74 	 F1: 0.76
[2020-07-20 15:16:58] - Validation 	 Epoch: 49 	 Loss: 1.546193 	 Accuracy 0.85 	 Precision: 0.73 	 Recall: 0.73 	 F1: 0.72

[2020-07-20 15:17:01] - Training 	 Epoch: 50 	 Loss: 0.456854 	 Accuracy 0.87 	 Precision: 0.78 	 Recall: 0.74 	 F1: 0.76
[2020-07-20 15:17:03] - Validation 	 Epoch: 50 	 Loss: 1.542442 	 Accuracy 0.85 	 Precision: 0.73 	 Recall: 0.73 	 F1: 0.72

[2020-07-20 15:17:06] - Training 	 Epoch: 51 	 Loss: 0.454440 	 Accuracy 0.87 	 Precision: 0.78 	 Recall: 0.74 	 F1: 0.76
[2020-07-20 15:17:09] - Validation 	 Epoch: 51 	 Loss: 1.538958 	 Accuracy 0.85 	 Precision: 0.73 	 Recall: 0.73 	 F1: 0.72

[2020-07-20 15:17:12] - Training 	 Epoch: 52 	 Loss: 0.456291 	 Accuracy 0.87 	 Precision: 0.78 	 Recall: 0.74 	 F1: 0.76
[2020-07-20 15:17:14] - Validation 	 Epoch: 52 	 Loss: 1.529628 	 Accuracy 0.86 	 Precision: 0.73 	 Recall: 0.73 	 F1: 0.72

[2020-07-20 15:17:18] - Training 	 Epoch: 53 	 Loss: 0.451033 	 Accuracy 0.87 	 Precision: 0.78 	 Recall: 0.75 	 F1: 0.76
[2020-07-20 15:17:25] - Validation 	 Epoch: 53 	 Loss: 1.530475 	 Accuracy 0.86 	 Precision: 0.73 	 Recall: 0.73 	 F1: 0.72

[2020-07-20 15:17:28] - Training 	 Epoch: 54 	 Loss: 0.448514 	 Accuracy 0.87 	 Precision: 0.78 	 Recall: 0.74 	 F1: 0.76
[2020-07-20 15:17:30] - Validation 	 Epoch: 54 	 Loss: 1.523026 	 Accuracy 0.86 	 Precision: 0.73 	 Recall: 0.73 	 F1: 0.72

[2020-07-20 15:17:34] - Training 	 Epoch: 55 	 Loss: 0.446548 	 Accuracy 0.87 	 Precision: 0.78 	 Recall: 0.74 	 F1: 0.76
[2020-07-20 15:17:36] - Validation 	 Epoch: 55 	 Loss: 1.519773 	 Accuracy 0.86 	 Precision: 0.73 	 Recall: 0.73 	 F1: 0.72

[2020-07-20 15:17:40] - Training 	 Epoch: 56 	 Loss: 0.444718 	 Accuracy 0.87 	 Precision: 0.78 	 Recall: 0.74 	 F1: 0.76
[2020-07-20 15:17:42] - Validation 	 Epoch: 56 	 Loss: 1.515005 	 Accuracy 0.86 	 Precision: 0.74 	 Recall: 0.74 	 F1: 0.73

[2020-07-20 15:17:46] - Training 	 Epoch: 57 	 Loss: 0.442851 	 Accuracy 0.87 	 Precision: 0.78 	 Recall: 0.74 	 F1: 0.76
[2020-07-20 15:17:48] - Validation 	 Epoch: 57 	 Loss: 1.509951 	 Accuracy 0.86 	 Precision: 0.74 	 Recall: 0.74 	 F1: 0.73

[2020-07-20 15:17:51] - Training 	 Epoch: 58 	 Loss: 0.440993 	 Accuracy 0.87 	 Precision: 0.78 	 Recall: 0.74 	 F1: 0.76
[2020-07-20 15:17:53] - Validation 	 Epoch: 58 	 Loss: 1.504772 	 Accuracy 0.86 	 Precision: 0.74 	 Recall: 0.74 	 F1: 0.73

[2020-07-20 15:17:56] - Training 	 Epoch: 59 	 Loss: 0.439103 	 Accuracy 0.87 	 Precision: 0.78 	 Recall: 0.74 	 F1: 0.76
[2020-07-20 15:17:59] - Validation 	 Epoch: 59 	 Loss: 1.499027 	 Accuracy 0.86 	 Precision: 0.74 	 Recall: 0.74 	 F1: 0.73

[2020-07-20 15:18:04] - Training 	 Epoch: 60 	 Loss: 0.437392 	 Accuracy 0.87 	 Precision: 0.78 	 Recall: 0.74 	 F1: 0.76
[2020-07-20 15:18:05] - Validation 	 Epoch: 60 	 Loss: 1.495473 	 Accuracy 0.86 	 Precision: 0.74 	 Recall: 0.74 	 F1: 0.73

[2020-07-20 15:18:08] - Training 	 Epoch: 61 	 Loss: 0.435706 	 Accuracy 0.87 	 Precision: 0.78 	 Recall: 0.75 	 F1: 0.76
[2020-07-20 15:18:10] - Validation 	 Epoch: 61 	 Loss: 1.490814 	 Accuracy 0.86 	 Precision: 0.74 	 Recall: 0.74 	 F1: 0.73

[2020-07-20 15:18:13] - Training 	 Epoch: 62 	 Loss: 0.434068 	 Accuracy 0.88 	 Precision: 0.79 	 Recall: 0.75 	 F1: 0.77
[2020-07-20 15:18:15] - Validation 	 Epoch: 62 	 Loss: 1.486994 	 Accuracy 0.86 	 Precision: 0.74 	 Recall: 0.74 	 F1: 0.73

[2020-07-20 15:18:18] - Training 	 Epoch: 63 	 Loss: 0.439721 	 Accuracy 0.88 	 Precision: 0.79 	 Recall: 0.75 	 F1: 0.77
[2020-07-20 15:18:20] - Validation 	 Epoch: 63 	 Loss: 1.477008 	 Accuracy 0.86 	 Precision: 0.74 	 Recall: 0.74 	 F1: 0.73

[2020-07-20 15:18:23] - Training 	 Epoch: 64 	 Loss: 0.440109 	 Accuracy 0.87 	 Precision: 0.78 	 Recall: 0.75 	 F1: 0.76
[2020-07-20 15:18:25] - Validation 	 Epoch: 64 	 Loss: 1.465075 	 Accuracy 0.86 	 Precision: 0.75 	 Recall: 0.74 	 F1: 0.74

[2020-07-20 15:18:28] - Training 	 Epoch: 65 	 Loss: 0.436996 	 Accuracy 0.87 	 Precision: 0.78 	 Recall: 0.75 	 F1: 0.77
[2020-07-20 15:18:30] - Validation 	 Epoch: 65 	 Loss: 1.462824 	 Accuracy 0.87 	 Precision: 0.75 	 Recall: 0.75 	 F1: 0.74

[2020-07-20 15:18:33] - Training 	 Epoch: 66 	 Loss: 0.433470 	 Accuracy 0.87 	 Precision: 0.78 	 Recall: 0.75 	 F1: 0.77
[2020-07-20 15:18:35] - Validation 	 Epoch: 66 	 Loss: 1.462284 	 Accuracy 0.87 	 Precision: 0.75 	 Recall: 0.75 	 F1: 0.74

[2020-07-20 15:18:38] - Training 	 Epoch: 67 	 Loss: 0.430424 	 Accuracy 0.87 	 Precision: 0.78 	 Recall: 0.75 	 F1: 0.76
[2020-07-20 15:18:40] - Validation 	 Epoch: 67 	 Loss: 1.463676 	 Accuracy 0.87 	 Precision: 0.75 	 Recall: 0.75 	 F1: 0.74

[2020-07-20 15:18:43] - Training 	 Epoch: 68 	 Loss: 0.427232 	 Accuracy 0.87 	 Precision: 0.79 	 Recall: 0.75 	 F1: 0.77
[2020-07-20 15:18:45] - Validation 	 Epoch: 68 	 Loss: 1.457199 	 Accuracy 0.87 	 Precision: 0.75 	 Recall: 0.75 	 F1: 0.74

[2020-07-20 15:18:48] - Training 	 Epoch: 69 	 Loss: 0.424702 	 Accuracy 0.87 	 Precision: 0.78 	 Recall: 0.75 	 F1: 0.76
[2020-07-20 15:18:50] - Validation 	 Epoch: 69 	 Loss: 1.456634 	 Accuracy 0.87 	 Precision: 0.75 	 Recall: 0.75 	 F1: 0.74

[2020-07-20 15:18:53] - Training 	 Epoch: 70 	 Loss: 0.422737 	 Accuracy 0.88 	 Precision: 0.79 	 Recall: 0.75 	 F1: 0.77
[2020-07-20 15:18:59] - Validation 	 Epoch: 70 	 Loss: 1.448499 	 Accuracy 0.87 	 Precision: 0.75 	 Recall: 0.75 	 F1: 0.74

[2020-07-20 15:19:02] - Training 	 Epoch: 71 	 Loss: 0.421198 	 Accuracy 0.88 	 Precision: 0.79 	 Recall: 0.75 	 F1: 0.77
[2020-07-20 15:19:04] - Validation 	 Epoch: 71 	 Loss: 1.448558 	 Accuracy 0.87 	 Precision: 0.75 	 Recall: 0.75 	 F1: 0.74

[2020-07-20 15:19:07] - Training 	 Epoch: 72 	 Loss: 0.419891 	 Accuracy 0.88 	 Precision: 0.79 	 Recall: 0.75 	 F1: 0.77
[2020-07-20 15:19:09] - Validation 	 Epoch: 72 	 Loss: 1.441382 	 Accuracy 0.87 	 Precision: 0.75 	 Recall: 0.75 	 F1: 0.74

[2020-07-20 15:19:13] - Training 	 Epoch: 73 	 Loss: 0.418638 	 Accuracy 0.88 	 Precision: 0.79 	 Recall: 0.75 	 F1: 0.77
[2020-07-20 15:19:14] - Validation 	 Epoch: 73 	 Loss: 1.440851 	 Accuracy 0.87 	 Precision: 0.75 	 Recall: 0.75 	 F1: 0.74

[2020-07-20 15:19:18] - Training 	 Epoch: 74 	 Loss: 0.417576 	 Accuracy 0.88 	 Precision: 0.79 	 Recall: 0.75 	 F1: 0.77
