[2020-07-02 14:44:08] - Starting holdout training: {
	data_features: ['distance_to_goal_normalized', 'raycast_8_normalized', 'direction_to_goal_normalized', 'agent_goal_angle'],
	data_labels: ['next_position_index'],
	data_single_features: [],
	data_single_labels: [],
	epochs: 100,
	loss: CrossEntropyLoss(),
	optimizer: <function BasicLSTMModule.get_config.<locals>.<lambda> at 0x7f94131668c0>,
	validation_ratio: 0.2,
	test_ratio: 0.2,
	save_name: tile_by_tile,
	training_data: ['training_house_1000'],
	batch_size: 50,
	num_layers: 2,
	lstm_input_size: 12,
	lstm_output_size: 8,
}

[2020-07-02 14:44:08] - Starting data pre processing
[2020-07-02 14:44:08] - Cache miss, starting new training data pre processing
[2020-07-02 14:44:08] - Loading data: training_house_1000
[2020-07-02 14:44:38] - Picking features
[2020-07-02 14:44:42] - Cache hit, training data loaded from cache
[2020-07-02 14:44:42] - Finished data pre processing 

[2020-07-02 14:44:42] - Training: <class 'algorithms.lstm.LSTM_tile_by_tile.BasicLSTMModule'>
[2020-07-02 14:44:45] - Training 	 Epoch: 0 	 Loss: 7.041753 	 Accuracy 0.51 	 Precision: 0.22 	 Recall: 0.30 	 F1: 0.23
[2020-07-02 14:45:36] - Validation 	 Epoch: 15 	 Loss: 11.099066 	 Accuracy 0.65 	 Precision: 0.46 	 Recall: 0.24 	 F1: 0.26

[2020-07-02 14:45:38] - Training 	 Epoch: 16 	 Loss: 3.359503 	 Accuracy 0.66 	 Precision: 0.51 	 Recall: 0.35 	 F1: 0.40
[2020-07-02 14:45:40] - Validation 	 Epoch: 16 	 Loss: 10.843544 	 Accuracy 0.66 	 Precision: 0.47 	 Recall: 0.29 	 F1: 0.31

[2020-07-02 14:45:41] - Training 	 Epoch: 17 	 Loss: 3.253313 	 Accuracy 0.68 	 Precision: 0.54 	 Recall: 0.41 	 F1: 0.45
[2020-07-02 14:45:43] - Validation 	 Epoch: 17 	 Loss: 10.288306 	 Accuracy 0.69 	 Precision: 0.52 	 Recall: 0.32 	 F1: 0.36

[2020-07-02 14:45:45] - Training 	 Epoch: 18 	 Loss: 3.078527 	 Accuracy 0.69 	 Precision: 0.55 	 Recall: 0.44 	 F1: 0.47
[2020-07-02 14:45:47] - Validation 	 Epoch: 18 	 Loss: 9.874240 	 Accuracy 0.71 	 Precision: 0.52 	 Recall: 0.34 	 F1: 0.37

[2020-07-02 14:45:49] - Training 	 Epoch: 19 	 Loss: 2.971543 	 Accuracy 0.70 	 Precision: 0.55 	 Recall: 0.48 	 F1: 0.50
[2020-07-02 14:45:50] - Validation 	 Epoch: 19 	 Loss: 9.410180 	 Accuracy 0.72 	 Precision: 0.54 	 Recall: 0.38 	 F1: 0.42

[2020-07-02 14:45:52] - Training 	 Epoch: 20 	 Loss: 2.936207 	 Accuracy 0.70 	 Precision: 0.55 	 Recall: 0.47 	 F1: 0.49
[2020-07-02 14:45:53] - Validation 	 Epoch: 20 	 Loss: 9.447930 	 Accuracy 0.72 	 Precision: 0.54 	 Recall: 0.36 	 F1: 0.40

[2020-07-02 14:45:55] - Training 	 Epoch: 21 	 Loss: 2.893154 	 Accuracy 0.71 	 Precision: 0.56 	 Recall: 0.48 	 F1: 0.51
[2020-07-02 14:45:57] - Validation 	 Epoch: 21 	 Loss: 8.869806 	 Accuracy 0.73 	 Precision: 0.58 	 Recall: 0.40 	 F1: 0.45

[2020-07-02 14:45:59] - Training 	 Epoch: 22 	 Loss: 2.886405 	 Accuracy 0.71 	 Precision: 0.58 	 Recall: 0.49 	 F1: 0.52
[2020-07-02 14:46:00] - Validation 	 Epoch: 22 	 Loss: 8.911775 	 Accuracy 0.73 	 Precision: 0.58 	 Recall: 0.44 	 F1: 0.49

[2020-07-02 14:46:02] - Training 	 Epoch: 23 	 Loss: 2.859287 	 Accuracy 0.72 	 Precision: 0.59 	 Recall: 0.49 	 F1: 0.51
[2020-07-02 14:46:04] - Validation 	 Epoch: 23 	 Loss: 8.731305 	 Accuracy 0.73 	 Precision: 0.59 	 Recall: 0.45 	 F1: 0.50

[2020-07-02 14:46:06] - Training 	 Epoch: 24 	 Loss: 2.837472 	 Accuracy 0.71 	 Precision: 0.58 	 Recall: 0.49 	 F1: 0.51
[2020-07-02 14:46:07] - Validation 	 Epoch: 24 	 Loss: 8.947783 	 Accuracy 0.73 	 Precision: 0.55 	 Recall: 0.43 	 F1: 0.47

[2020-07-02 14:46:11] - Training 	 Epoch: 25 	 Loss: 2.799057 	 Accuracy 0.72 	 Precision: 0.58 	 Recall: 0.51 	 F1: 0.53
[2020-07-02 14:46:13] - Validation 	 Epoch: 25 	 Loss: 8.579524 	 Accuracy 0.73 	 Precision: 0.59 	 Recall: 0.45 	 F1: 0.50

[2020-07-02 14:46:15] - Training 	 Epoch: 26 	 Loss: 2.785472 	 Accuracy 0.72 	 Precision: 0.58 	 Recall: 0.51 	 F1: 0.53
[2020-07-02 14:46:17] - Validation 	 Epoch: 26 	 Loss: 8.808720 	 Accuracy 0.74 	 Precision: 0.58 	 Recall: 0.45 	 F1: 0.50

[2020-07-02 14:46:19] - Training 	 Epoch: 27 	 Loss: 2.758881 	 Accuracy 0.72 	 Precision: 0.59 	 Recall: 0.51 	 F1: 0.54
[2020-07-02 14:46:21] - Validation 	 Epoch: 27 	 Loss: 8.753449 	 Accuracy 0.74 	 Precision: 0.58 	 Recall: 0.46 	 F1: 0.50

[2020-07-02 14:46:23] - Training 	 Epoch: 28 	 Loss: 2.736825 	 Accuracy 0.72 	 Precision: 0.59 	 Recall: 0.52 	 F1: 0.55
[2020-07-02 14:46:25] - Validation 	 Epoch: 28 	 Loss: 8.491598 	 Accuracy 0.74 	 Precision: 0.58 	 Recall: 0.46 	 F1: 0.50

[2020-07-02 14:46:27] - Training 	 Epoch: 29 	 Loss: 2.717055 	 Accuracy 0.72 	 Precision: 0.60 	 Recall: 0.52 	 F1: 0.55
[2020-07-02 14:46:29] - Validation 	 Epoch: 29 	 Loss: 8.775621 	 Accuracy 0.74 	 Precision: 0.57 	 Recall: 0.46 	 F1: 0.50

[2020-07-02 14:46:32] - Training 	 Epoch: 30 	 Loss: 2.717789 	 Accuracy 0.72 	 Precision: 0.60 	 Recall: 0.52 	 F1: 0.55
[2020-07-02 14:46:33] - Validation 	 Epoch: 30 	 Loss: 8.420890 	 Accuracy 0.74 	 Precision: 0.57 	 Recall: 0.46 	 F1: 0.50

[2020-07-02 14:46:36] - Training 	 Epoch: 31 	 Loss: 2.607164 	 Accuracy 0.74 	 Precision: 0.61 	 Recall: 0.54 	 F1: 0.57
[2020-07-02 14:46:37] - Validation 	 Epoch: 31 	 Loss: 7.918677 	 Accuracy 0.76 	 Precision: 0.63 	 Recall: 0.49 	 F1: 0.54

[2020-07-02 14:46:39] - Training 	 Epoch: 32 	 Loss: 2.589299 	 Accuracy 0.73 	 Precision: 0.61 	 Recall: 0.54 	 F1: 0.56
[2020-07-02 14:46:41] - Validation 	 Epoch: 32 	 Loss: 7.832953 	 Accuracy 0.76 	 Precision: 0.63 	 Recall: 0.50 	 F1: 0.54

[2020-07-02 14:46:43] - Training 	 Epoch: 33 	 Loss: 2.562485 	 Accuracy 0.74 	 Precision: 0.61 	 Recall: 0.55 	 F1: 0.57
[2020-07-02 14:46:44] - Validation 	 Epoch: 33 	 Loss: 7.807278 	 Accuracy 0.76 	 Precision: 0.62 	 Recall: 0.49 	 F1: 0.54

[2020-07-02 14:46:46] - Training 	 Epoch: 34 	 Loss: 2.552604 	 Accuracy 0.74 	 Precision: 0.62 	 Recall: 0.57 	 F1: 0.59
[2020-07-02 14:46:48] - Validation 	 Epoch: 34 	 Loss: 7.735309 	 Accuracy 0.76 	 Precision: 0.62 	 Recall: 0.50 	 F1: 0.54

[2020-07-02 14:46:50] - Training 	 Epoch: 35 	 Loss: 2.506788 	 Accuracy 0.75 	 Precision: 0.62 	 Recall: 0.58 	 F1: 0.60
[2020-07-02 14:46:51] - Validation 	 Epoch: 35 	 Loss: 7.749589 	 Accuracy 0.76 	 Precision: 0.61 	 Recall: 0.51 	 F1: 0.54

[2020-07-02 14:46:54] - Training 	 Epoch: 36 	 Loss: 2.520363 	 Accuracy 0.75 	 Precision: 0.62 	 Recall: 0.58 	 F1: 0.60
[2020-07-02 14:46:55] - Validation 	 Epoch: 36 	 Loss: 7.626210 	 Accuracy 0.76 	 Precision: 0.63 	 Recall: 0.52 	 F1: 0.55

[2020-07-02 14:46:57] - Training 	 Epoch: 37 	 Loss: 2.466937 	 Accuracy 0.75 	 Precision: 0.63 	 Recall: 0.60 	 F1: 0.61
[2020-07-02 14:46:59] - Validation 	 Epoch: 37 	 Loss: 7.518347 	 Accuracy 0.77 	 Precision: 0.62 	 Recall: 0.53 	 F1: 0.56

[2020-07-02 14:47:01] - Training 	 Epoch: 38 	 Loss: 2.411978 	 Accuracy 0.77 	 Precision: 0.65 	 Recall: 0.61 	 F1: 0.63
[2020-07-02 14:47:03] - Validation 	 Epoch: 38 	 Loss: 7.503020 	 Accuracy 0.77 	 Precision: 0.63 	 Recall: 0.54 	 F1: 0.56

[2020-07-02 14:47:05] - Training 	 Epoch: 39 	 Loss: 2.332458 	 Accuracy 0.78 	 Precision: 0.66 	 Recall: 0.62 	 F1: 0.64
[2020-07-02 14:47:06] - Validation 	 Epoch: 39 	 Loss: 7.164358 	 Accuracy 0.79 	 Precision: 0.64 	 Recall: 0.59 	 F1: 0.60

[2020-07-02 14:47:08] - Training 	 Epoch: 40 	 Loss: 2.191475 	 Accuracy 0.81 	 Precision: 0.68 	 Recall: 0.66 	 F1: 0.66
[2020-07-02 14:47:10] - Validation 	 Epoch: 40 	 Loss: 7.521444 	 Accuracy 0.79 	 Precision: 0.64 	 Recall: 0.57 	 F1: 0.59

[2020-07-02 14:47:12] - Training 	 Epoch: 41 	 Loss: 2.349888 	 Accuracy 0.79 	 Precision: 0.65 	 Recall: 0.63 	 F1: 0.63
[2020-07-02 14:47:13] - Validation 	 Epoch: 41 	 Loss: 8.106860 	 Accuracy 0.77 	 Precision: 0.60 	 Recall: 0.58 	 F1: 0.58

[2020-07-02 14:47:17] - Training 	 Epoch: 42 	 Loss: 2.223567 	 Accuracy 0.80 	 Precision: 0.67 	 Recall: 0.66 	 F1: 0.66
[2020-07-02 14:47:18] - Validation 	 Epoch: 42 	 Loss: 8.585830 	 Accuracy 0.77 	 Precision: 0.60 	 Recall: 0.58 	 F1: 0.58

[2020-07-02 14:47:20] - Training 	 Epoch: 43 	 Loss: 1.976681 	 Accuracy 0.82 	 Precision: 0.69 	 Recall: 0.66 	 F1: 0.67
[2020-07-02 14:47:21] - Validation 	 Epoch: 43 	 Loss: 7.063946 	 Accuracy 0.80 	 Precision: 0.65 	 Recall: 0.59 	 F1: 0.60

[2020-07-02 14:47:24] - Training 	 Epoch: 44 	 Loss: 1.990924 	 Accuracy 0.81 	 Precision: 0.68 	 Recall: 0.66 	 F1: 0.67
[2020-07-02 14:47:25] - Validation 	 Epoch: 44 	 Loss: 6.841013 	 Accuracy 0.80 	 Precision: 0.66 	 Recall: 0.60 	 F1: 0.62

[2020-07-02 14:47:27] - Training 	 Epoch: 45 	 Loss: 1.925611 	 Accuracy 0.82 	 Precision: 0.69 	 Recall: 0.67 	 F1: 0.68
[2020-07-02 14:47:29] - Validation 	 Epoch: 45 	 Loss: 6.641946 	 Accuracy 0.80 	 Precision: 0.66 	 Recall: 0.60 	 F1: 0.62

[2020-07-02 14:47:32] - Training 	 Epoch: 46 	 Loss: 1.957691 	 Accuracy 0.81 	 Precision: 0.70 	 Recall: 0.66 	 F1: 0.67
[2020-07-02 14:47:34] - Validation 	 Epoch: 46 	 Loss: 6.852994 	 Accuracy 0.80 	 Precision: 0.66 	 Recall: 0.59 	 F1: 0.61

[2020-07-02 14:47:36] - Training 	 Epoch: 47 	 Loss: 2.096877 	 Accuracy 0.81 	 Precision: 0.67 	 Recall: 0.66 	 F1: 0.66
[2020-07-02 14:47:39] - Validation 	 Epoch: 47 	 Loss: 7.926665 	 Accuracy 0.80 	 Precision: 0.64 	 Recall: 0.57 	 F1: 0.59

[2020-07-02 14:47:41] - Training 	 Epoch: 48 	 Loss: 2.055138 	 Accuracy 0.80 	 Precision: 0.66 	 Recall: 0.68 	 F1: 0.66
[2020-07-02 14:47:42] - Validation 	 Epoch: 48 	 Loss: 7.372888 	 Accuracy 0.79 	 Precision: 0.64 	 Recall: 0.60 	 F1: 0.61

[2020-07-02 14:47:44] - Training 	 Epoch: 49 	 Loss: 2.003595 	 Accuracy 0.81 	 Precision: 0.70 	 Recall: 0.65 	 F1: 0.67
[2020-07-02 14:47:46] - Validation 	 Epoch: 49 	 Loss: 6.961119 	 Accuracy 0.80 	 Precision: 0.66 	 Recall: 0.60 	 F1: 0.62

[2020-07-02 14:47:48] - Training 	 Epoch: 50 	 Loss: 1.951658 	 Accuracy 0.82 	 Precision: 0.69 	 Recall: 0.68 	 F1: 0.68
[2020-07-02 14:47:49] - Validation 	 Epoch: 50 	 Loss: 6.888307 	 Accuracy 0.80 	 Precision: 0.65 	 Recall: 0.60 	 F1: 0.61

[2020-07-02 14:47:54] - Training 	 Epoch: 51 	 Loss: 1.891289 	 Accuracy 0.83 	 Precision: 0.71 	 Recall: 0.69 	 F1: 0.70
[2020-07-02 14:47:55] - Validation 	 Epoch: 51 	 Loss: 6.689383 	 Accuracy 0.80 	 Precision: 0.66 	 Recall: 0.61 	 F1: 0.62

[2020-07-02 14:47:57] - Training 	 Epoch: 52 	 Loss: 1.957920 	 Accuracy 0.82 	 Precision: 0.69 	 Recall: 0.68 	 F1: 0.68
[2020-07-02 14:47:59] - Validation 	 Epoch: 52 	 Loss: 6.899477 	 Accuracy 0.80 	 Precision: 0.67 	 Recall: 0.60 	 F1: 0.62

[2020-07-02 14:48:01] - Training 	 Epoch: 53 	 Loss: 1.884621 	 Accuracy 0.82 	 Precision: 0.70 	 Recall: 0.68 	 F1: 0.68
[2020-07-02 14:48:03] - Validation 	 Epoch: 53 	 Loss: 6.749166 	 Accuracy 0.80 	 Precision: 0.68 	 Recall: 0.60 	 F1: 0.62

[2020-07-02 14:48:05] - Training 	 Epoch: 54 	 Loss: 1.859260 	 Accuracy 0.83 	 Precision: 0.70 	 Recall: 0.68 	 F1: 0.69
[2020-07-02 14:48:06] - Validation 	 Epoch: 54 	 Loss: 6.614635 	 Accuracy 0.80 	 Precision: 0.67 	 Recall: 0.61 	 F1: 0.62

[2020-07-02 14:48:08] - Training 	 Epoch: 55 	 Loss: 1.845056 	 Accuracy 0.83 	 Precision: 0.70 	 Recall: 0.69 	 F1: 0.69
[2020-07-02 14:48:11] - Validation 	 Epoch: 55 	 Loss: 6.549349 	 Accuracy 0.80 	 Precision: 0.67 	 Recall: 0.60 	 F1: 0.62

[2020-07-02 14:48:13] - Training 	 Epoch: 56 	 Loss: 1.828305 	 Accuracy 0.83 	 Precision: 0.71 	 Recall: 0.69 	 F1: 0.69
[2020-07-02 14:48:15] - Validation 	 Epoch: 56 	 Loss: 6.481022 	 Accuracy 0.80 	 Precision: 0.67 	 Recall: 0.61 	 F1: 0.62

[2020-07-02 14:48:17] - Training 	 Epoch: 57 	 Loss: 1.817120 	 Accuracy 0.83 	 Precision: 0.71 	 Recall: 0.69 	 F1: 0.70
[2020-07-02 14:48:19] - Validation 	 Epoch: 57 	 Loss: 6.442430 	 Accuracy 0.80 	 Precision: 0.67 	 Recall: 0.61 	 F1: 0.62

[2020-07-02 14:48:21] - Training 	 Epoch: 58 	 Loss: 1.810462 	 Accuracy 0.83 	 Precision: 0.71 	 Recall: 0.69 	 F1: 0.70
[2020-07-02 14:48:23] - Validation 	 Epoch: 58 	 Loss: 6.404340 	 Accuracy 0.81 	 Precision: 0.67 	 Recall: 0.61 	 F1: 0.62

[2020-07-02 14:48:25] - Training 	 Epoch: 59 	 Loss: 1.799794 	 Accuracy 0.83 	 Precision: 0.71 	 Recall: 0.70 	 F1: 0.70
[2020-07-02 14:48:26] - Validation 	 Epoch: 59 	 Loss: 6.362201 	 Accuracy 0.81 	 Precision: 0.67 	 Recall: 0.61 	 F1: 0.62

[2020-07-02 14:48:28] - Training 	 Epoch: 60 	 Loss: 1.799862 	 Accuracy 0.83 	 Precision: 0.71 	 Recall: 0.70 	 F1: 0.70
[2020-07-02 14:48:29] - Validation 	 Epoch: 60 	 Loss: 6.350088 	 Accuracy 0.81 	 Precision: 0.67 	 Recall: 0.61 	 F1: 0.63

[2020-07-02 14:48:34] - Training 	 Epoch: 61 	 Loss: 1.785388 	 Accuracy 0.83 	 Precision: 0.71 	 Recall: 0.70 	 F1: 0.70
[2020-07-02 14:48:35] - Validation 	 Epoch: 61 	 Loss: 6.266793 	 Accuracy 0.81 	 Precision: 0.66 	 Recall: 0.62 	 F1: 0.63

[2020-07-02 14:48:37] - Training 	 Epoch: 62 	 Loss: 1.773704 	 Accuracy 0.84 	 Precision: 0.72 	 Recall: 0.71 	 F1: 0.71
[2020-07-02 14:48:39] - Validation 	 Epoch: 62 	 Loss: 6.212629 	 Accuracy 0.81 	 Precision: 0.67 	 Recall: 0.62 	 F1: 0.63

[2020-07-02 14:48:41] - Training 	 Epoch: 63 	 Loss: 1.775202 	 Accuracy 0.83 	 Precision: 0.71 	 Recall: 0.71 	 F1: 0.71
[2020-07-02 14:48:42] - Validation 	 Epoch: 63 	 Loss: 6.241248 	 Accuracy 0.81 	 Precision: 0.67 	 Recall: 0.61 	 F1: 0.62

[2020-07-02 14:48:44] - Training 	 Epoch: 64 	 Loss: 1.762417 	 Accuracy 0.83 	 Precision: 0.71 	 Recall: 0.71 	 F1: 0.71
[2020-07-02 14:48:45] - Validation 	 Epoch: 64 	 Loss: 6.227294 	 Accuracy 0.81 	 Precision: 0.67 	 Recall: 0.62 	 F1: 0.63

[2020-07-02 14:48:47] - Training 	 Epoch: 65 	 Loss: 1.754290 	 Accuracy 0.84 	 Precision: 0.72 	 Recall: 0.71 	 F1: 0.71
[2020-07-02 14:48:49] - Validation 	 Epoch: 65 	 Loss: 6.211047 	 Accuracy 0.81 	 Precision: 0.67 	 Recall: 0.62 	 F1: 0.63

[2020-07-02 14:48:51] - Training 	 Epoch: 66 	 Loss: 1.768713 	 Accuracy 0.84 	 Precision: 0.72 	 Recall: 0.71 	 F1: 0.71
[2020-07-02 14:48:52] - Validation 	 Epoch: 66 	 Loss: 6.186170 	 Accuracy 0.81 	 Precision: 0.68 	 Recall: 0.62 	 F1: 0.64

[2020-07-02 14:48:57] - Training 	 Epoch: 67 	 Loss: 1.747551 	 Accuracy 0.84 	 Precision: 0.72 	 Recall: 0.71 	 F1: 0.71
[2020-07-02 14:48:58] - Validation 	 Epoch: 67 	 Loss: 6.206983 	 Accuracy 0.81 	 Precision: 0.66 	 Recall: 0.62 	 F1: 0.63

[2020-07-02 14:49:00] - Training 	 Epoch: 68 	 Loss: 1.737370 	 Accuracy 0.84 	 Precision: 0.72 	 Recall: 0.72 	 F1: 0.72
[2020-07-02 14:49:02] - Validation 	 Epoch: 68 	 Loss: 6.159218 	 Accuracy 0.81 	 Precision: 0.67 	 Recall: 0.62 	 F1: 0.63

[2020-07-02 14:49:04] - Training 	 Epoch: 69 	 Loss: 1.737153 	 Accuracy 0.84 	 Precision: 0.72 	 Recall: 0.72 	 F1: 0.72
[2020-07-02 14:49:05] - Validation 	 Epoch: 69 	 Loss: 6.154477 	 Accuracy 0.81 	 Precision: 0.67 	 Recall: 0.62 	 F1: 0.63

[2020-07-02 14:49:07] - Training 	 Epoch: 70 	 Loss: 1.730800 	 Accuracy 0.84 	 Precision: 0.73 	 Recall: 0.72 	 F1: 0.72
[2020-07-02 14:49:09] - Validation 	 Epoch: 70 	 Loss: 6.138038 	 Accuracy 0.81 	 Precision: 0.67 	 Recall: 0.62 	 F1: 0.63

[2020-07-02 14:49:11] - Training 	 Epoch: 71 	 Loss: 1.725751 	 Accuracy 0.84 	 Precision: 0.72 	 Recall: 0.72 	 F1: 0.72
[2020-07-02 14:49:15] - Validation 	 Epoch: 71 	 Loss: 6.120602 	 Accuracy 0.81 	 Precision: 0.68 	 Recall: 0.62 	 F1: 0.63

[2020-07-02 14:49:17] - Training 	 Epoch: 72 	 Loss: 1.721867 	 Accuracy 0.84 	 Precision: 0.73 	 Recall: 0.73 	 F1: 0.72
[2020-07-02 14:49:18] - Validation 	 Epoch: 72 	 Loss: 6.099182 	 Accuracy 0.81 	 Precision: 0.68 	 Recall: 0.63 	 F1: 0.64

[2020-07-02 14:49:20] - Training 	 Epoch: 73 	 Loss: 1.716809 	 Accuracy 0.84 	 Precision: 0.73 	 Recall: 0.73 	 F1: 0.72
[2020-07-02 14:49:21] - Validation 	 Epoch: 73 	 Loss: 6.087469 	 Accuracy 0.82 	 Precision: 0.68 	 Recall: 0.63 	 F1: 0.64

[2020-07-02 14:49:23] - Training 	 Epoch: 74 	 Loss: 1.713419 	 Accuracy 0.84 	 Precision: 0.73 	 Recall: 0.72 	 F1: 0.72
[2020-07-02 14:49:25] - Validation 	 Epoch: 74 	 Loss: 6.077172 	 Accuracy 0.81 	 Precision: 0.67 	 Recall: 0.63 	 F1: 0.64

[2020-07-02 14:49:27] - Training 	 Epoch: 75 	 Loss: 1.710664 	 Accuracy 0.84 	 Precision: 0.73 	 Recall: 0.73 	 F1: 0.72
